'ID'	'key'	'notes'
	'g532-t277-rl177-l137-ra72-a151-a150-TN'	'Rehbreingraben-Formation (Gaultflysch; Sandstein, glaukonitführend, hart, quarzitisch, dunkler Tonschiefer; Aptium - Albium) /deposition/marine_setting'
	'g540-t282-rl177-l136-ra72-a151-a150-TN'	'Glaukonitsandstein, hart, splittrig; schwärzliche Schiefer (Aptium - Albium)/deposition/marine_setting'
	'g546-t254-rl173-l162-l136-l232-ra72-a72-a72-TN'	'Glosbach-Formation (Unterkreide)/deposition/marine_setting'
	'g562-t277-rl177-ra37-a75-a74-TN'	'Greifenstein-Formation (dickbankiger, mürber siliziklastischer Sandstein, bräunlichgrau; Oberes Paläozän - Unteres Eozän) /deposition/marine_setting'
	'g564-t75-rl112-l233-l194-ra35-a35-a35-TN'	'Kieselschiefer und Gresten-Formation (sandiger Kalk, Mergelkalk; Jura)/deposition/marine_setting'
	'g569-g866-t122-rl196-l197-ra67-a131-a130-TN'	'Gutenstein-/Steinalmkalk (massiger bis dickbankiger Kalk, hell bis mittelgrau = Steinalmkalk; oben dunkler, grob- bis dünngeschichtet = Gutensteiner Fazies; Anisium)/deposition/marine_setting'
	'g58-t254-rl128-l181-ra71-a206-a206-TN'	'Eschenau-Formation, nov. nom. (Quarzit, Fein- bis Mittelkonglomerat, hell, mürbe, z.T. gebankt, hell-weisslich; ?Keuper)/deposition/marine_setting'
	'g58-t254-rl136-l192-l177-l173-ra73-a73-a73-TN'	'Bunte Schiefer im Ybbsitzer Flysch i. Allg./deposition/marine_setting'
	'g58-t254-rl177-ra73-a154-a152-TN'	'Sandstein vorherrschend (?Cenomanium - Coniacium)/deposition/marine_setting'
	'g58-t254-rl196-ra35-a35-a35-TN'	'Kalk bei Löffelmühl (extrem kalzitgeäderter grauer Kalk)/deposition/marine_setting'
	'g58-t254-rl232-l177-l171-l173-l137-l196-ra36-a73-a72-TN'	'Ybbsitzer Flysch i. Allg./deposition/marine_setting'
	'g58-t254-rl237-ra70-a70-a70-TN'	'dunkler Kieselschiefer (?Mitteljura)/deposition/below_carbonate_compensation_depth_setting'
	'g58-t254-rl7-ra35-a35-a35-TN'	'Ultrabasit (Block im Sonnleitgraben)/mechanical_deposition/marine_setting'
	'g583-t119-rl128-ra68-a133-a133-TN'	'Quarziteinschaltung (Marbach) im Hauptdolomit (dünn-mittelbankiger Dolomit, grau-hellgrau, grünliche-dunkelgraue Tonzwischenlagen; Norium)/deposition/marine_carbonate_platform_setting'
	'g583-t119-rl197-l213-ra68-a133-a133-TN'	'Hauptdolomit (dünn-mittelbankiger Dolomit, grau-hellgrau, grünliche-dunkelgraue Tonzwischenlagen; Norium)/deposition/marine_carbonate_platform_setting'
	'g597-t112-rl222-l218-l214-ra79-a216-a216-TN'	'Hochterrasse (Riss)/mechanical_deposition/river_plain_system_setting'
	'g611-t63-rl231-l177-ra37-a76-a75-TN'	'Rogatsboden-Formation (Tonmergel, geschichtet, grau, mit fein- bis mittelkörnigen Sandsteinbänken, dünn- bis mittelbankig; Oberes Eozän - Oligozän)/deposition/marine_setting'
	'g616-t112-rl222-l218-ra39-a218-a218-TN'	'Jüngerer Deckenschotter (Mindel)/mechanical_deposition/glacier_related_setting'
	'g664-t278-rl177-ra73-a161-a157-TN'	'Laab-Formation (siliziklastischer Flysch; Maastrichtium - Paläozän)/deposition/marine_setting'
	'g743-t122-rl196-l197-ra68-a133-a132-TN'	'Opponitzer Basiskalk (dunkler laminitischer Kalk mit Dolomitlagen) /deposition/marine_setting'
	'g743-t122-rl196-l232-ra68-a133-a132-TN'	'Opponitzer Kalk (massig bis dünnschichtiger Kalk, grau, bräunliche Mergelzwischenlagen) /deposition/marine_setting'
	'g743-t122-rl243-l197-l182-ra68-a133-a132-TN'	'Liegend-Rauwacke (mit dunklen Dolomitlagen und -brekzien)/deposition/shoreline_settings'
	'g743-t122-rl243-l197-l209-ra68-a133-a132-TN'	'Hangend-Rauwacke/deposition/shoreline_settings'
	'g760-t277-rl173-l171-ra73-a156-a156-TN'	'Perneck-Formation (Wechsellagerung von Siltsteinturbiditen mit bunten hemipelagischen Tonsteinen; Oberstes Campanium)/deposition/marine_setting'
	'g796-t277-rl177-ra73-a153-a152-TN'	'Reiselsberg-Formation (siliziklastischer Flysch, mittel- dickbankig; Cenomanium - Turonium)/deposition/marine_setting'
	'g807-t254-rl237-ra71-a71-a71-TN'	'Rotenberg-Formation (Radiolarit; ?Oberjura)/deposition/below_carbonate_compensation_depth_setting'
	'g810-t119-rl237-ra35-a71-a70-TN'	'Radiolarit (Jura)/deposition/below_carbonate_compensation_depth_setting'
	'g818-t119-rl231-l172-ra68-a134-a134-TN'	'Schattwald-Formation (braunroter Tonmergel bis Schieferton; Rhätium)/deposition/marine_setting'
	'g832-t119-rl233-ra36-a150-a146-TN'	'Übergang zu Schrambach-Formation (rote Kalkmergel)/deposition/neritic'
	'g892-t277-rl194-l171-l182-l181-l192-ra72-a149-a149-TN'	'Tristel-Formation (Neokomflysch; vorherrschend Kalksandstein, Sandkalk und Schiefer, Brekzien; ?Barremium)/debris_flow_deposition/marine_setting'
	'g937-t282-rl127-ra72-a72-a72-TN'	'Serpentinit/deposition/marine_setting'
	'g937-t282-rl136-ra72-a152-a72-TN'	'Bunte Schiefer der Wolfpassing-Formation, Kreide der Nordzone i. Allg. (Unterkreide - ?Cenomanium)/deposition/marine_setting'
	'g937-t282-rl167-l177-ra72-a152-a72-TN'	'Wolfpassing-Formation, Kreide der Nordzone i. Allg. (Unterkreide - ?Cenomanium)/deposition/marine_setting'
	'g937-t282-rl231-ra74-a74-a74-TN'	'Tonmergel bei Roseneck (sandig, grau; Paleozän) /deposition/marine_setting'
	'g945-t254-rl233-l232-l167-ra73-a156-a155-TN'	'Zementmergel (karbonatischer Flysch; Santonium - Campanium)/deposition/marine_setting'
	'g985-t277-rl167-l177-ra73-a156-a156-TN'	'Kalkgraben-Formation (Zementmergelserie; karbonatischer Flysch; Campanium)/deposition/marine_setting'
	't102-rl109-l141-ra13-a13-a13-TN'	'Marmor, Graphit führend/sedimentary_process/earth_surface_setting'
	't102-rl109-ra13-a13-a13-TN'	'Marmor/sedimentary_process/earth_surface_setting'
	't102-rl118-ra13-a25-a13-TN'	'(Granat-)Amphibolit/geologic_process/crust'
	't102-rl128-l132-ra13-a13-a13-TN'	'Quarzit, Arkosegneis/sedimentary_process/earth_surface_setting'
	't102-rl131-l104-l109-l113-l118-ra13-a13-a13-TN'	'Paragneis, teilweise migmatisch, mit Einschaltungen von Marmor, Kalksilikatgneis und Amphibolit/sedimentary_process/earth_surface_setting'
	't102-rl131-l104-ra13-a13-a13-TN'	'Paragneis, stärker migmatisch mit leukokraten Lagen/sedimentary_process/earth_surface_setting'
	't103-rl104-ra13-a25-a13-TN'	'Leukokrater Migmatit (aus Paragneis)/sedimentary_process/marine_setting'
	't103-rl109-ra13-a25-a13-TN'	'Marmor (Weidaberg)/sedimentary_process/continental_borderland_setting'
	't103-rl113-ra13-a25-a13-TN'	'Kalksilikatgneis (südwestlich von Sooß)/sedimentary_process/continental_borderland_setting'
	't103-rl118-ra13-a25-a13-TN'	'Pyroxenamphibolit, Fleckamphibolit, (Granat-)Amphibolit/magmatic_process/earth_interior_setting'
	't103-rl118-ra25-a25-a25-TN'	'Biotit-Hornblendegneis (Siegendorf)/magmatic_process/earth_interior_setting'
	't103-rl118-ra25-a25-a25-TN'	'Pyroxenamphibolit/magmatic_process/mantle'
	't103-rl119-ra29-a29-a29-TN'	'Granulit, stellenweise mit Lagen oder Linsen von Pyroxengranulit/metamorphic_process/earth_interior_setting'
	't103-rl128-l132-ra13-a25-a13-TN'	'Quarzit, Arkosegneis (Weidaberg)/sedimentary_process/continental_borderland_setting'
	't103-rl129-ra13-a25-a13-TN'	'Granat-Pyroxengneis/magmatic_process/earth_interior_setting'
	't103-rl130-ra13-a13-a13-TN'	'Migmatischer Orthogneis mit Amphiboliteinschaltungen (Schallaburg)/magmatic_process/earth_interior_setting'
	't103-rl130-ra29-a29-a29-TN'	'Gföhler Gneis (migmatischer Orthogneis; Emmersdorf)/magmatic_process/earth_interior_setting'
	't103-rl131-l109-l113-l118-l104-ra13-a25-a13-TN'	'Paragneis, meist migmatisch, mit Einschaltungen von Marmor, Kalksilikatgneis und Amphibolit/sedimentary_process/continental_borderland_setting'
	't103-rl133-l26-ra32-a32-a32-TN'	'Leukogranitgneis, Granat führend (nördlich Pielachhäuser)/magmatic_process/earth_interior_setting'
	't103-rl142-ra13-a25-a13-TN'	'Metagabbro (südlich der Schallaburg)/magmatic_process/earth_interior_setting'
	't103-rl19-l30-ra32-a32-a32-TN'	'Alkalifeldspat-Quarzsyenitgneis (Typ Wolfshof)/magmatic_process/earth_interior_setting'
	't103-rl44-ra25-a25-a25-TN'	'Quarzdioritgneis (nördlich der Herrenmühle)/magmatic_process/earth_interior_setting'
	't103-rl7-l127-ra13-a25-a13-TN'	'Ultrabasit, Serpentinit/magmatic_process/mantle'
	't105-rl113-ra13-a25-a13-TN'	'Kalksilikatgneis/sedimentary_process/earth_surface_setting'
	't105-rl129-ra13-a25-a13-TN'	'Cordieritgneis/sedimentary_process/earth_surface_setting'
	't112-rl222-l218-l240-ra39-a79-a79-TN'	'Kies, fluviatil, in vier verschiedenen, hohen Niveaus (Vorkommen im Bereich der Schallaburg: Stark lehmiger Kristallinschotter eines lokalen Einzugsgebietes)/mechanical_deposition/glacier_related_setting'
	't112-rl222-l218-ra39-a79-a79-TN'	'Kiesschleier (Reliktschotter aus Material der Flysch- und Klippenzone, z.T. hangabwärts verfrachtet)/mechanical_deposition/glacier_related_setting'
	't116-rl196-l197-ra134-a134-a134-TN'	'Plattenkalk (Dolomit- und Kalkbänke; Rhätium)/deposition/marine_setting'
	't119-rl196-l233-ra35-a71-a70-TN'	'Bunte Mittel- bis Oberjurakalke i. Allg./deposition/marine_setting'
	't122-rl167-l196-l197-l232-l243-ra67-a131-a130-TN'	'Mittel-Trias i. Allg./deposition/earth_surface_setting'
	't277-rl136-ra36-a36-a36-TN'	'Bunte Schiefer verschiedener Niveaus/deposition/marine_setting'
	't277-rl177-l128-l137-l136-ra36-a73-a72-TN'	'Ältere Flysch-Formationen i. Allg./deposition/marine_setting'
	't277-rl231-l177-ra75-a75-a75-TN'	'Tonmergel, untergeordnet dünnbankiger Sandstein, grau-grünlichgrau (Unteres Eozän)/deposition/marine_setting'
	't282-rl127-ra72-a72-a72-TN'	'Serpentinit/magmatic_process/oceanic_crust'
	't282-rl194-l233-l167-ra72-a72-a72-TN'	'Kalksandstein, Kalkmergel, kalkiger Flysch (Unterkreide)/deposition/marine_setting'
	't95-rl131-l118-ra27-a27-a27-TN'	'Kataklastischer Paragneis und Amphibolit entlang der Diendorfer Störung/deformation/earth_surface_setting'
	't95-rl95-ra25-a33-a56-TN'	'Lamprophyr (Spessartit; östlich von Melk)/intrusion/earth_interior_setting'
